language	aff	evidentiality	color_lang	color_aff
Andi	Andic	+	orange3	orange3
Inkhoqwari	Tsezic	+	deeppink	brown1
Tsakhur	Lezgic	+	seagreen	#74C476
Khinalugh	Khinalugh	-	tan	tan
Godoberi	Andic	+	orange	orange3
Tsez	Tsezic	+	brown1	brown1
Aghul	Lezgic	+	green	#74C476
Lezgian	Lezgic	-	#74C476	#74C476
Karata	Andic	+	tomato3	orange3
Kryz	Lezgic	-	lightgreen	#74C476
Ingush	Nakh	+	deepvioletred	mediumorchid
Akhvakh	Andic	+	gold2	orange3
Botlikh	Andic	+	sandybrown	orange3
Bagvalal	Andic	+	sienna2	orange3
Bezhta	Tsezic	+	palevioletred	brown1
Rutul	Lezgic	-	greenyellow	#74C476
Archi	Lezgic	+	limegreen	#74C476
Chechen	Nakh	-	mediumorchid	mediumorchid
Dargwa	Dargwa	+	blue	blue
Udi	Lezgic	-	chartreuse4	#74C476
Chamalal	Andic	+	chocolate	orange3
Lak	Lak	+	violetred	violetred
Hinuq	Tsezic	+	pink	brown1
Tindi	Andic	+	goldenrod3	orange3
Hunzib	Tsezic	+	salmon	brown1
Bats	Nakh	+	mediumorchid2	mediumorchid
Budukh	Lezgic	-	#C7E9C0	#74C476
Tabasaran	Lezgic	-	#238B45	#74C476
Avar	Avar	+	yellow	yellow
